,conm,gvkey,add1,add2,add3,add4,addzip,busdesc,cik,city,conml,costat,county,dlrsn,ein,fax,fic,fyrc,ggroup,gind,gsector,gsubind,idbflag,incorp,loc,naics,phone,prican,prirow,priusa,sic,spcindcd,spcseccd,spcsrc,state,stko,weburl,dldte,ipodate
984,NEWBRIDGE GLOBL VENTURES INC,034715,2545 Santa Clara Avenue,,,,94501,"NewBridge Global Ventures, Inc., through its subsidiaries, cultivates, manufactures, and distributes medical and recreational cannabis products in California.",0000726293,Alameda,Newbridge Global Ventures Inc,A,,,,,USA,12.0,3520,352020,35,35202010,D,CA,USA,325412,801-362-2115,,,01,2834,,,,CA,3.0,www.newbridgegv.com,,
985,CYCLERION THERAPEUTICS,034746,"245 First Street, 18th Floor",,,,02142,"Cyclerion Therapeutics, Inc., a clinical-stage biopharmaceutical company, engages in the discovering, development, and commercialization of medicines for serious central nervous system (CNS) diseases.",0001755237,Cambridge,Cyclerion Therapeutics Inc,A,,,83-1895370,617 890 6595,USA,12.0,3520,352010,35,35201010,D,MA,USA,325414,857 327 8778,,,01,2836,,,,MA,0.0,www.cyclerion.com,,
986,BIOXYTRAN INC,034810,"233 Needham Street, Suite 300",,,,02464,"Bioxytran, Inc., a clinical stage pharmaceutical company, focuses on the development, manufacture, and commercialization of therapeutic drugs to address hypoxia in humans.",0001445815,Newton,Bioxytran Inc,A,,,,,USA,12.0,3520,352010,35,35201010,D,,USA,325414,617-454-1199,,,01,2836,,,,MA,3.0,www.bioxytraninc.com,,
987,ONE WORLD PHARMA INC,034874,"3471 West Oquendo Road, Suite 301",,,,89118,"One World Products, Inc. produces and sells raw cannabis and hemp products worldwide. It also focuses on cultivating, processing, and supplying of crude cannabis oil, distillate, and isolate. The company was formerly known as One World Pharma, Inc.",0001622244,Las Vegas,One World Pharma Inc,A,,,,,USA,12.0,3520,352020,35,35202010,D,NV,USA,325412,800 605 3210,,,01,2834,,,,NV,3.0,www.oneworldproducts.com,,
988,PRECISION BIOSCIENCES,034883,"302 East Pettigrew Street, Suite A-100",,,,27701,"Precision BioSciences, Inc., a clinical stage gene editing company, develops vivo gene editing and ex vivo allogeneic CAR T therapies in the United States. The company operates through two segments, Therapeutic and Food. It offers ARCUS, a genome editing platform to cure genetic disorders.",0001357874,Durham,Precision BioSciences Inc,A,,,20-4206017,480 393 5553,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,919 314 5512,,,01,2836,,,,NC,0.0,www.precisionbiosciences.com,,2019-03-28
989,EXACTUS INC,034917,"80 NE 4th Avenue, Suite 28",,,,33483,"As of June 30, 2021, Exactus, Inc. was acquired by Panacea Life Sciences Holdings, Inc., in a reverse merger transaction.",,Delray Beach,Exactus Inc,I,,04,,,USA,12.0,3520,352020,35,35202010,D,,USA,325412,800 881 9352,,,01,2834,,,,FL,3.0,www.exactushemp.com,2021-10-28,
990,X4 PHARMACEUTICALS INC,034929,"61 North Beacon Street, 4th Floor",,,,02134,"X4 Pharmaceuticals, Inc., a late-stage clinical biopharmaceutical company, focuses on the research, development, and commercialization of novel therapeutics for the treatment of rare diseases.",0001501697,Boston,X4 Pharmaceuticals Inc,A,,,27-3181608,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,857 529 8300,,,01,2836,,,,MA,0.0,www.x4pharma.com,,
991,PDS BIOTECHNOLOGY CORP,034942,303A College Road East,,,,08540,"PDS Biotechnology Corporation, a clinical-stage biopharmaceutical company, focuses on developing multifunctional cancer immunotherapies.",0001472091,Princeton,PDS Biotechnology Corp,A,,,26-4231384,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,800 208 3343,,,01,2836,,,,NJ,0.0,www.pdsbiotech.com,,
992,TURNING POINT THERAPE INC,035006,"10628 Science Center Drive, Suite 200",,,,92121,"Turning Point Therapeutics, Inc., a clinical-stage precision oncology biopharmaceutical company, engages in designing and developing therapies that target genetic drivers of cancer.",0001595893,San Diego,Turning Point Therapeutics Inc,A,,,46-3826166,,USA,12.0,3520,352010,35,35201010,D,,USA,325414,858 926 5251,,,01,2836,,,,CA,0.0,www.tptherapeutics.com,,2019-04-17
993,HOOKIPA PHARMA INC,035014,"350 Fifth Avenue, 72nd Floor, Suite 7240",,,,10118,"HOOKIPA Pharma Inc., a clinical stage biopharmaceutical company, develops immunotherapeutics targeting infectious diseases and cancers based on its proprietary arenavirus platform.",0001760542,New York,HOOKIPA Pharma Inc,A,,,81-5395687,431 890 6360,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,431 890 6360,,,01,2836,,,,NY,0.0,www.hookipapharma.com,,2019-04-18
994,GUARDION HEALTH SCIENCS INC,035018,"15150 Avenue of Science, Suite 200",,,,92128,"Guardion Health Sciences, Inc., together with its subsidiaries, operates as a specialty health sciences company in the United States. It operates in two segments, Medical Foods and Nutraceuticals, and Medical Devices.",0001642375,San Diego,Guardion Health Sciences Inc,A,,,47-4428421,858 630 5543,USA,12.0,3030,303020,30,30302010,D,DE,USA,325412,858 605 9055,,,01,2834,,,,CA,0.0,www.guardionhealth.com,,2019-04-05
995,SCOPUS BIOPHARMA INC,035050,"420 Lexington Avenue, Suite 300",,,,10170,"Scopus BioPharma Inc., a clinical-stage biopharmaceutical company, focuses on developing transformational therapeutics targeting serious diseases. The company lead development programs are immuno-oncology gene therapy for the treatment of various cancers.",0001772028,New York,Scopus BioPharma Inc,A,,,82-1248020,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,212 479 2513,,,01,2836,,,,NY,0.0,scopusbiopharma.com,,2020-12-16
996,TREVI THERAPEUTICS INC,035054,"195 Church Street, 14th Floor",,,,06510,"Trevi Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on the development and commercialization of Haduvio to treat serious neurologically mediated conditions.",0001563880,New Haven,Trevi Therapeutics Inc,A,,,45-0834299,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,203 304 2499,,,01,2834,,,,CT,0.0,www.trevitherapeutics.com,,2019-05-07
997,CANSORTIUM INC,035088,"82 North East 26th Street, Suite 110",,,,33137,"Cansortium Inc., through its subsidiaries, produces and sells medical cannabis in the United States. The company engages in the cultivation, processing, retail, and distribution activities.",0001758124,Miami,Cansortium Inc,A,,,,,CAN,12.0,3520,352020,35,35202010,D,,USA,325412,305 902 2720,,,01,2834,,,,FL,3.0,www.getfluent.com,,
998,AXCELLA HEALTH INC,035089,840 Memorial Drive,,,,02139,Axcella Health Inc. operates as a clinical stage biotechnology company in the United States. The company treats complex diseases and enhances health using endogenous metabolic modulator compositions.,0001633070,Cambridge,Axcella Health Inc,A,,,26-3321056,617 441 6243,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,857 320 2200,,,01,2836,,,,MA,0.0,www.axcellahealth.com,,2019-05-09
999,NEXTCURE INC,035090,"9000 Virginia Manor Road, Suite 200",,,,20705,"NextCure, Inc., a clinical-stage biopharmaceutical company, engages in discovering and developing novel immunomedicines to treat cancer and other immune-related diseases by restoring normal immune function.",0001661059,Beltsville,NextCure Inc,A,,,04-5231247,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,240-399-4900,,,01,2836,,,,MD,0.0,www.nextcure.com,,2019-05-09
1000,APPLIED THERAPEUTICS INC,035091,"545 Fifth Avenue, Suite 1400",,,,10017,"Applied Therapeutics, Inc., a clinical-stage biopharmaceutical company, develops novel products to target cardiovascular disease, galactosemia, and diabetic complications.",0001697532,New York,Applied Therapeutics Inc,A,,,81-3405262,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,212 220 9226,,,01,2836,,,,NY,0.0,www.appliedtherapeutics.com,,2019-05-14
1001,CORTEXYME INC,035102,269 East Grand Avenue,,,,94080,"Cortexyme, Inc., a clinical stage biopharmaceutical company, focuses on developing therapeutics for Alzheimer's and other degenerative diseases.",0001662774,South San Francisco,Cortexyme Inc,A,,,90-1024039,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,415 910 5717,,,01,2836,,,,CA,0.0,www.cortexyme.com,,2019-05-09
1002,COLUMBIA CARE INC,035119,"680 Fifth Avenue, 24th Floor",,,,10019,"Columbia Care Inc. cultivates, manufactures, and provides cannabis-based health and wellness solutions, and derivative products. It offers flowers, edibles, oils, and tablets under the Cannabist, Seed & Strain, Triple Seven, gLeaf, Classix, Press, Amber, and Platinum Label CBD brands.",0001776738,New York,Columbia Care Inc,A,,,,,CAN,12.0,3520,352020,35,35202010,B,,USA,325412,212 634 7100,,,01,2834,,,,NY,3.0,www.col-care.com,,
1003,SEQLL INC,035121,3 Federal Street,,,,01821,"SeqLL Inc. operates as a life sciences instrumentation and research services company worldwide. The company designs, develops, and manufactures genetic analysis technologies.",0001605888,Billerica,SeqLL Inc,A,,,46-5319744,,USA,12.0,3520,352030,35,35203010,D,DE,USA,325414,781 460 6016,,,02,2836,,,,MA,0.0,seqll.com,,2021-08-27
1004,PELOTON THERAPEUTICS  -REDH,035135,"2330 Inwood Road, Suite 226",,,,75235,"Peloton Therapeutics, Inc., a clinical stage biopharmaceutical company, develops medicines for patients with cancer and other debilitating or life-threatening conditions.",0001525145,Dallas,Peloton Therapeutics Inc,I,,10,27-3349428,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,972 629 4100,,,01,2836,,,,TX,0.0,www.pelotontherapeutics.com,2019-07-10,
1005,IDEAYA BIOSCIENCES INC,035136,"7000 Shoreline Court, Suite 350",,,,94080,"IDEAYA Biosciences, Inc., a synthetic lethality-focused precision medicine oncology company, focuses on the discovery and development of targeted therapeutics for patient populations selected using molecular diagnostics.",0001676725,South San Francisco,IDEAYA Biosciences Inc,A,,,47-4268251,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,650 443 6209,,,01,2836,,,,CA,0.0,www.ideayabio.com,,2019-05-23
1006,ONCOTELIC THERAPEUTICS INC,035138,"29397 Agoura Road, Suite 107",,,,91301,"Oncotelic Therapeutics, Inc., a clinical-stage biopharmaceutical company, engages in developing drugs for the treatment of orphan oncology indications.",0000908259,Agoura Hills,Oncotelic Therapeutics Inc,A,,,,650 635 7001,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,650 635 7000,,,01,2836,,,,CA,3.0,www.oncotelic.com,,
1007,LOWELL FARMS INC,035151,"19 Quail Run Circle, Suite B",,,,93907,"Lowell Farms Inc. engages in the cultivation, extraction, manufacturing, sale, marketing, and distribution of cannabis products to retail dispensaries in California.",0001838128,Salinas,Lowell Farms Inc,A,,,,,CAN,12.0,3520,352020,35,35202010,D,,USA,325412,831 998 8214,,,01,2834,,,,CA,3.0,www.lowellfarms.com,,
1008,CODIAK BIOSCIENCES IN,035154,"500 Technology Square, 9th Floor",,,,02139,"Codiak BioSciences, Inc., a clinical-stage biopharmaceutical company, focuses on developing exosome-based therapeutics for the treatment of oncology, neuro-oncology, neurology, neuromuscular diseases, infectious diseases, and other diseases.",0001659352,Cambridge,Codiak BioSciences Inc,A,,,47-4926530,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,617 949 4100,,,01,2836,,,,MA,0.0,www.codiakbio.com,,2020-10-14
1009,ADYNXX INC,035161,"100 Pine Street, Suite 500",,,,94111,"Adynxx, Inc., a clinical stage biopharmaceutical company, focuses on the development and marketing of transcription factor decoy technologies for the treatment of pain and inflammatory diseases.",0001054274,San Francisco,Adynxx Inc,A,,,,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325412,415-512-7740,,,01,2834,,,,CA,3.0,www.adynxx.com,,
1010,VEXT SCIENCE INC,035243,4152 North 39th Avenue,,,,85019,"Vext Science, Inc., through its subsidiaries, operates as an integrated agricultural technology, services, and property management company in the cannabis industry in the United States.",0001778028,Phoenix,Vext Science Inc,A,,,,,CAN,12.0,3520,352020,35,35202010,D,,USA,325412,,,,01,2834,,,,AZ,3.0,www.vextscience.com,,
1011,AYR WELLNESS INC,035251,"2601 South Bayshore Drive, Suite 900",,,,33133,"Ayr Wellness Inc., a vertically-integrated cannabis multi-state operator, cultivates, manufactures, and retails cannabis products and branded cannabis packaged goods. The company's cannabis and cannabis products include concentrates, edibles, and vaporizer products.",0001847462,Miami,AYR Wellness Inc,A,,,,,CAN,12.0,3520,352020,35,35202010,D,,USA,325412,,,,01,2834,,,,FL,3.0,www.ayrwellness.com,,
1012,PERSONALIS INC,035254,1330 O'Brien Drive,,,,94025,"Personalis, Inc. operates as a cancer genomics company worldwide. The company provides sequencing and data analysis services to support the development of cancer therapies and large-scale genetic research programs.",0001527753,Menlo Park,Personalis Inc,A,,,27-5411038,650 752 1301,USA,12.0,3520,352030,35,35203010,D,DE,USA,325413,650 752 1300,,,01,2835,,,,CA,0.0,www.personalis.com,,2019-06-20
1013,STOKE THERAPEUTICS INC,035255,45 Wiggins Avenue,,,,01730,"Stoke Therapeutics, Inc., an early-stage biopharmaceutical company, develops novel antisense oligonucleotide (ASO) medicines to treat the underlying causes of severe genetic diseases in the United States.",0001623526,Bedford,Stoke Therapeutics Inc,A,,,47-1144582,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,781 430 8200,,,01,2836,,,,MA,0.0,www.stoketherapeutics.com,,2019-06-19
1014,BRIDGEBIO PHARMA INC,035264,421 Kipling Street,,,,94301,"BridgeBio Pharma, Inc. engages in the discovery, development, and delivery of various medicines for genetic diseases. The company has a pipeline of 30 development programs that include product candidates ranging from early discovery to late-stage development.",0001743881,Palo Alto,BridgeBio Pharma Inc,A,,,84-1850815,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,650 391 9740,,,01,2836,,,,CA,0.0,www.bridgebio.com,,2019-06-27
1015,PREVAIL THERAPEUTICS INC,035266,"430 East 29th Street, Suite 1520",,,,10016,"Prevail Therapeutics Inc., a gene therapy company, focuses on developing and commercializing disease-modifying AAV-based gene therapies for patients with neurodegenerative diseases.",0001714798,New York,Prevail Therapeutics Inc,I,,01,82-2129632,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,917 336 9310,,,01,2836,,,,NY,0.0,www.prevailtherapeutics.com,2021-01-25,2019-06-20
1016,AKERO THERAPEUTICS INC,035267,"601 Gateway Boulevard, Suite 350",,,,94080,"Akero Therapeutics, Inc., a cardio-metabolic nonalcoholic steatohepatitis (NASH) company, engages in the development of medicines designed to restore metabolic balance and improve overall health.",0001744659,South San Francisco,Akero Therapeutics Inc,A,,,81-5266573,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,650 487 6488,,,01,2836,,,,CA,0.0,www.akerotx.com,,2019-06-20
1017,ATRECA INC,035270,"835 Industrial Road, Suite 400",,,,94070,"Atreca, Inc., a clinical-stage biopharmaceutical company, discovers and develops antibody-based immunotherapeutics to treat a range of solid tumor types.",0001532346,South San Francisco,Atreca Inc,A,,,27-3723255,650 453 2410,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,650 595 2595,,,01,2836,,,,CA,0.0,www.atreca.com,,2019-06-20
1018,ADAPTIVE BIOTECH CORP,035279,1165 Eastlake Avenue East,,,,98109,"Adaptive Biotechnologies Corporation, a commercial-stage company, develops an immune medicine platform for the diagnosis and treatment of various diseases.",0001478320,Seattle,Adaptive Biotechnologies Corp,A,,,27-0907024,206 659 0667,USA,12.0,3520,352030,35,35203010,D,WA,USA,325413,206 659 0067,,,01,2835,,,,WA,0.0,www.adaptivebiotech.com,,2019-06-27
1019,MORPHIC HOLDING INC,035280,"35 Gatehouse Drive, A2",,,,02451,"Morphic Holding, Inc., a biopharmaceutical company, discovers and develops oral small-molecule integrin therapeutics for the treatment of autoimmune, cardiovascular, metabolic diseases, as well as fibrosis and cancer.",0001679363,Waltham,Morphic Holding Inc,A,,,47-3878772,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,781 996 0955,,,01,2836,,,,MA,0.0,www.morphictx.com,,2019-06-27
1020,KARUNA THERPEUTICS INC,035290,"99 High Street, 26th Floor",,,,02110,"Karuna Therapeutics, Inc., a clinical-stage biopharmaceutical company, creates and delivers transformative medicines for people living with psychiatric and neurological conditions.",0001771917,Boston,Karuna Therapeutics Inc,A,,,27-0605902,,USA,12.0,3520,352010,35,35201010,B,DE,USA,325412,857 449 2244,,,01,2834,,,,MA,0.0,www.karunatx.com,,2019-06-28
1021,INHIBRX INC,035306,"11025 North Torrey Pines Road, Suite 200",,,,92037,"Inhibrx, Inc., a clinical-stage biotechnology company, focuses on developing a pipeline of novel biologic therapeutic candidates.",0001739614,La Jolla,Inhibrx Inc,A,,,82-4257312,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,858 795 4220,,,01,2836,,,,CA,0.0,inhibrx.com,,2020-08-19
1022,TILT HOLDINGS INC,035312,"2081 East Camelback Road, Suite 180",,,,85016,"TILT Holdings Inc. operates in the cannabis industry in the United States, Canada, Israel, Mexico, South America, and the European Union. It operates through Cannabis, Accessories, and Other segments.",0001761510,Phoenix,TILT Holdings Inc,A,,,,,CAN,12.0,3520,352020,35,35202010,D,,USA,325412,,,,01,2834,,,,AZ,3.0,www.tiltholdings.com,,
1023,ONCTERNAL THERAPEUTICS INC,035320,"12230 El Camino Real, Suite 300",,,,92130,"Oncternal Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on the development of oncology therapies for cancers with critical unmet medical needs.",0001260990,San Diego,Oncternal Therapeutics Inc,A,,,62-1715807,858 408 3010,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,858 434 1113,,,01,2836,,,,CA,0.0,www.oncternal.com,,
1024,JUSHI HOLDINGS INC,035323,"301 Yamato Road, Suite 3250",,,,33431,"Jushi Holdings Inc., a vertically integrated cannabis company, engages in the cultivation, processing, retail, and distribution of medical and adult-use products.",,Boca Raton,Jushi Holdings Inc,A,,,,,CAN,12.0,3520,352020,35,35202010,D,,USA,325412,888 498 8842,,,01,2834,,,,FL,3.0,www.jushico.com,,
1025,HARBORSIDE INC,035324,"2100 Embarcadero, Suite 202",,,,94606,"Harborside Inc. engages in the cultivation, branding, manufacture, wholesale distribution, and retail sale of cannabis and cannabis products for the adult-use and medical markets in the United States.",,Oakland,Harborside Inc,A,,,,,CAN,12.0,3520,352020,35,35202010,D,,USA,325412,800 892 4209,,,01,2834,,,,CA,3.0,www.investharborside.com,,
1026,MIRUM PHARMACEUTICALS INC,035375,"950 Tower Lane, Suite 1050",,,,94404,"Mirum Pharmaceuticals, Inc., a biopharmaceutical company, focuses on the development and commercialization of novel therapies for debilitating rare and orphan diseases.",0001759425,Foster City,Mirum Pharmaceuticals Inc,A,,,83-1281555,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,650 667 4085,,,01,2836,,,,CA,0.0,www.mirumpharma.com,,2019-07-18
1027,FULCRUM THERAPEUTICS INC,035376,26 Landsdowne Street,,,,02139,"Fulcrum Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing products for improving the lives of patients with genetically defined diseases in the areas of high unmet medical need in the United States.",0001680581,Cambridge,Fulcrum Therapeutics Inc,A,,,47-4839948,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325414,617 651 8851,,,01,2836,,,,MA,0.0,www.fulcrumtx.com,,2019-07-18
1028,CNS PHARMACEUTICALS INC,035403,"2100 West Loop South, Suite 900",,,,77027,"CNS Pharmaceuticals, Inc., a clinical pharmaceutical company, engages in the development of anti-cancer drug candidates for the treatment of brain and central nervous system tumors.",0001729427,Houston,CNS Pharmaceuticals Inc,A,,,82-2318545,,USA,12.0,3520,352020,35,35202010,D,NV,USA,325412,800 946 9185,,,01,2834,,,,TX,0.0,www.cnspharma.com,,2019-11-08
1029,ANNOVIS BIO INC,035416,"1055 Westlakes Drive, Suite 300",,,,19312,"Annovis Bio, Inc., a clinical stage drug platform company, develops drugs to treat neurodegeneration.",0001477845,Berwyn,Annovis Bio Inc,A,,,26-2540421,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,610 727 3913,,,01,2836,,,,PA,0.0,www.annovisbio.com,,2020-01-29
1030,GBS INC,035422,"420 Lexington Avenue, Suite 300",,,,10170,GBS Inc. operates as a biosensor diagnostic technology company. It offers Saliva Glucose Biosensor that uses saliva to measure glucose non-invasively.,0001725430,New York,GBS Inc,A,,,82-1512711,,USA,6.0,3510,351010,35,35101010,D,DE,USA,325413,646 828 8258,,,01,2835,,,,NY,0.0,www.gbs.inc,,2020-12-23
1031,RAPT THERAPEUTICS INC,035429,561 Eccles Avenue,,,,94080,"RAPT Therapeutics, Inc., a clinical-stage immunology-based biopharmaceutical company, focuses on discovering, developing, and commercializing oral small molecule therapies for patients with unmet needs in oncology and inflammatory diseases.",0001673772,South San Francisco,RAPT Therapeutics Inc,A,,,47-3313701,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,650 489 9000,,,01,2836,,,,CA,0.0,www.rapt.com,,2019-10-31
1032,EMMAUS LIFE SCIENCES INC,035472,"21250 Hawthorne Boulevard, Suite 800",,,,90503,"Emmaus Life Sciences, Inc., a commercial-stage biopharmaceutical company, discovers, develops, markets, and sells treatments and therapies primarily for rare and orphan diseases in the United States and internationally.",0000822370,Torrance,Emmaus Life Sciences Inc,A,,,87-0419387,310 214 0075,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,310 214 0065,,,01,2834,,,,CA,3.0,www.emmausmedical.com,,
1033,SALARIUS PHARMACEUTICALS INC,035477,"2450 Holcombe Boulevard, Suite J-608",,,,77021,"Salarius Pharmaceuticals, Inc., a clinical-stage biotechnology company, focuses on developing epigenetic-based cancer treatments.",0001615219,Houston,Salarius Pharmaceuticals Inc,A,,,46-5087339,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,346 772 0346,,,01,2836,,,,TX,0.0,www.salariuspharma.com,,
1034,SPRINGWORKS THERAPEUTICS INC,035600,100 Washington Boulevard,,,,06902,"SpringWorks Therapeutics, Inc. acquires, develops, and commercializes medicines for underserved patient populations suffering from rare diseases and cancer.",0001773427,Stamford,SpringWorks Therapeutics Inc,A,,,83-4066827,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,203 883 9490,,,01,2836,,,,CT,0.0,www.springworkstx.com,,2019-09-13
1035,SATSUMA PHARMACEUTICALS INC,035601,"400 Oyster Point Boulevard, Suite 221",,,,94080,"Satsuma Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, developing novel therapeutic products for the acute treatment of migraines.",0001692830,South San Francisco,Satsuma Pharmaceuticals Inc,A,,,81-3039831,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,650 410 3200,,,01,2834,,,,CA,0.0,www.satsumarx.com,,2019-09-13
1036,TFF PHARMACEUTICALS INC,035611,"1751 River Run, Suite 400",,,,76107,"TFF Pharmaceuticals, Inc., a clinical stage biopharmaceutical company, focuses on developing and commercializing drug products based on its patented Thin Film Freezing (TFF) technology platform in the United States and Australia.",0001733413,Austin,TFF Pharmaceuticals Inc,A,,,82-4344737,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,817 438 6168,,,01,2834,,,,TX,0.0,www.tffpharma.com,,2019-10-25
1037,VIELA BIO INC,035630,"One MedImmune Way, First Floor, Area Two",,,,20878,"Viela Bio, Inc., a clinical-stage biotechnology company, engages in the research and development of treatments for severe inflammation and autoimmune diseases in the United States.",0001734517,Gaithersburg,Viela Bio Inc,I,,01,82-4187338,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,240 558 0038,,,01,2836,,,,MD,0.0,www.vielabio.com,2021-03-16,2019-10-03
1038,BRICKELL BIOTECH INC,035632,"5777 Central Avenue, Suite 102",,,,80301,"Brickell Biotech, Inc., a clinical-stage pharmaceutical company, engages in the development of various prescription therapeutics for the treatment of autoimmune, inflammatory, and other debilitating diseases in the United States.",0000819050,Boulder,Brickell Biotech Inc,A,,,93-0948554,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325412,720 505 4755,,,01,2834,,,,CO,0.0,www.brickellbio.com,,
1039,VIR BIOTECHNOLOGY INC,035638,"499 Illinois Street, Suite 500",,,,94158,"Vir Biotechnology, Inc., a commercial-stage immunology company, develops therapeutic products to treat and prevent serious infectious diseases.",0001706431,San Francisco,Vir Biotechnology Inc,A,,,81-2730369,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,415 906 4324,,,01,2836,,,,CA,0.0,www.vir.bio,,2019-10-11
1040,IGM BIOSCIENCES INC,035639,325 East Middlefield Road,,,,94043,"IGM Biosciences, Inc., a biotechnology company, develops Immunoglobulin M (IgM) antibodies for the treatment of cancer, infectious diseases, and autoimmune and inflammatory diseases.",0001496323,Mountain View,IGM Biosciences Inc,A,,,77-0349194,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,650 965 7873,,,01,2836,,,,CA,0.0,igmbio.com,,2019-09-18
1041,10X GENOMICS INC,035640,6230 Stoneridge Mall Road,,,,94588-3260,"10x Genomics, Inc., a life science technology company, develops and sells instruments, consumables, and software for analyzing biological systems in North America, Europe, the Middle East, Africa, China, and the Asia Pacific.",0001770787,Pleasanton,10x Genomics Inc,A,,,45-5614458,,USA,12.0,3520,352030,35,35203010,D,DE,USA,325413,925 401 7300,,,01,2835,,,,CA,0.0,www.10xgenomics.com,,2019-09-12
1042,FREQUENCY THERAPEUTICS INC,035647,"75 Hayden Avenue, Suite 300",,,,02421,"Frequency Therapeutics, Inc., a clinical-stage biotechnology company, focuses on developing therapeutics to activate a person's innate regenerative potential to restore function.",0001703647,Lexington,Frequency Therapeutics Inc,A,,,47-2324450,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,781 315 4600,,,01,2836,,,,MA,0.0,www.frequencytx.com,,2019-10-03
1043,APREA THERAPEUTICS INC,035648,535 Boylston St.,,,,02116,"Aprea Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing and commercializing novel cancer therapeutics that target DNA damage response pathways.",0001781983,Boston,Aprea Therapeutics Inc,A,,,84-2246769,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,617-463-9385,,,01,2836,,,,MA,0.0,atrinpharma.com,,2019-10-03
1044,MONOPAR THERAPEUTICS INC,035664,"1000 Skokie Boulevard, Suite 350",,,,60091,"Monopar Therapeutics Inc., a clinical-stage biopharmaceutical company, engages in developing therapeutics for the treatment of cancer in the United States.",0001645469,Wilmette,Monopar Therapeutics Inc,A,,,32-0463781,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,847 388 0349,,,01,2836,,,,IL,0.0,www.monopartx.com,,2019-12-19
1045,OCUGEN INC,035712,"5 Great Valley Parkway, Suite 160",,,,19355,"Ocugen, Inc., a clinical stage biopharmaceutical company, focuses on the discovery, development, and commercialization of transformative therapies to cure blindness diseases.",0001372299,Malvern,Ocugen Inc,A,,,04-3522315,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,484 328 4701,,,01,2836,,,,PA,0.0,www.ocugen.com,,
1046,BEAM THERAPEUTICS INC,035714,"238 Main Street, 9th Floor",,,,02142,"Beam Therapeutics Inc., a biotechnology company, develops precision genetic medicines for patients suffering from serious diseases in the United States.",0001745999,Cambridge,Beam Therapeutics Inc,A,,,81-5238376,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,857 327 8775,,,01,2836,,,,MA,0.0,www.beamtx.com,,2020-02-06
1047,CABALETTA BIO INC,035727,"2929 Arch Street, Suite 600",,,,19104,"Cabaletta Bio, Inc., a clinical-stage biotechnology company, focuses on the discovery and development of engineered T cell therapies for patients with B cell-mediated autoimmune diseases.",0001759138,Philadelphia,Cabaletta Bio Inc,A,,,82-1685768,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,267 759 3100,,,01,2836,,,,PA,0.0,www.cabalettabio.com,,2019-10-25
