Associationtype,Boardname,Companyname,Directorname,Overlapyearstart,Overlapyearend,Role,Associatedrole,Conncompanyorgtype,Boardid,Companyid,Directorid,Roletitle,Roleboardposition,Roleedflag,Overlapyearstart_int,Overlapyearend_int,Startcompanydatestartrole,Startcompanydateendrole,Conncompanydatestartrole,Conncompanydateendrole,Orgtype
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Johnson Illington Advisors LLC,Doctor Hugh Johnson Jr,2005,2006,Director - SD (Brd) (SD),Chairman (Brd) (SD),Private,12,731394,374225,Director - SD,Brd,SD,2005,2006,2004-04-27,2006-09-28,2005-01-01,2010-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),BCA Publications Ltd,Tony Boeckh,1986,2002,Director - SD (Brd) (SD),Chairman/CEO (Brd) (ED),Private,12,731224,374449,Director - SD,Brd,SD,1986,2002,1986-01-01,2003-03-17,1979-01-01,2002-01-31,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint Capital Inc (First Albany Capital Inc prior to 12/2007),Doctor Hugh Johnson Jr,2004,2005,Director - SD (Brd) (SD),Senior VP/Chief Investment Officer (Non-Brd),Private,12,602642,374225,Director - SD,Brd,SD,2004,2005,2004-04-27,2006-09-28,1985-01-01,2005-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MatlinPatterson Global Advisers LLC,Chris Pechock,2007,2012,Director - SD (Brd) (SD),Partner (Non-Brd),Private,12,664105,371960,Director - SD,Brd,SD,2007,2012,2007-09-21,2012-01-01,2002-07-01,2017-09-01,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),DEPFA BANK PLC (De-listed 10/2007),Ken Gibbs,2006,2007,Executive MD (Non-Brd),Head of Operations (Non-Brd),Quoted,12,86581,374862,Executive MD,Non-Brd,,2006,2007,2004-01-01,2009-01-01,2006-01-01,2007-10-03,Quoted
NFP,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Dale Kutnick & Laura Gordon Kutnick Foundation Inc,Dale Kutnick,2003,2009,Independent Director (Brd) (SD),Secretary/Treasurer,Charities,12,1695565,374276,Independent Director,Brd,SD,2003,2009,2003-04-29,2009-06-16,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MatlinPatterson Global Advisers LLC,Chris Pechock,2012,2014,Independent Director (Brd) (SD),Partner (Non-Brd),Private,12,664105,371960,Independent Director,Brd,SD,2012,2014,2012-01-01,2014-07-28,2002-07-01,2017-09-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),FA Asset Management Inc,Doctor Hugh Johnson Jr,2004,2005,Director - SD (Brd) (SD),Chairman (Brd) (SD),Private,12,731347,374225,Director - SD,Brd,SD,2004,2005,2004-04-27,2006-09-28,1991-01-01,2005-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),FA Asset Management Inc,Doctor Hugh Johnson Jr,1991,2004,Senior VP (Brd) (ED),Chairman (Brd) (SD),Private,12,731347,374225,Senior VP,Brd,ED,1991,2004,1990-01-01,2004-04-27,1991-01-01,2005-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Liberty Capital Partners Inc,Ken Mabbs,2000,2009,Executive MD (Non-Brd),Managing Partner (Non-Brd),Private,12,607605,374588,Executive MD,Non-Brd,,2000,2009,2000-01-01,2009-01-01,1994-01-01,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),McNamee Consulting Co,Daniel McNamee III,1985,1995,Director - SD (Brd) (SD),President (Non-Brd),Private,12,791636,374408,Director - SD,Brd,SD,1985,1995,1985-11-01,2003-04-29,1981-01-01,1995-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Liberty Capital Partners Inc,Ken Mabbs,1994,2000,Division Director (Non-Brd),Managing Partner (Non-Brd),Private,12,607605,374588,Division Director,Non-Brd,,1994,2000,1991-01-01,2000-01-01,1994-01-01,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint Capital Inc (First Albany Capital Inc prior to 12/2007),Stephen Wink,1997,1997,Assistant Secretary (Non-Brd),Executive MD (Brd) (ED),Private,12,602642,374893,Assistant Secretary,Non-Brd,,1997,1997,1996-01-01,1997-08-01,1997-07-01,2005-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),McNamee Consulting Co,Daniel McNamee III,1996,1997,Director - SD (Brd) (SD),Chairman (Brd) (SD),Private,12,791636,374408,Director - SD,Brd,SD,1996,1997,1985-11-01,2003-04-29,1996-01-01,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint Capital Inc (First Albany Capital Inc prior to 12/2007),Doctor Hugh Johnson Jr,1990,2004,Senior VP (Brd) (ED),Senior VP/Chief Investment Officer (Non-Brd),Private,12,602642,374225,Senior VP,Brd,ED,1990,2004,1990-01-01,2004-04-27,1985-01-01,2005-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),ISOPur Fluid Technologies Inc,Ken Mabbs,2008,2009,Executive MD (Non-Brd),Director - SD (Brd) (SD),Private,12,950397,374588,Executive MD,Non-Brd,,2008,2009,2000-01-01,2009-01-01,,2013-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Pritchard Capital Partners LLC,Tom Sheedy Jr,2008,2008,Executive MD (Non-Brd),Senior VP (Non-Brd),Private,12,1066653,374896,Executive MD,Non-Brd,,2008,2008,2001-06-01,2008-01-01,2008-05-27,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint Capital Inc (First Albany Capital Inc prior to 12/2007),Paul Kutey,2005,2006,Acting CFO (Non-Brd),Acting CFO (Non-Brd),Private,12,602642,441854,Acting CFO,Non-Brd,,2005,2006,2005-11-03,2006-06-29,2005-11-03,2006-06-29,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint Capital Inc (First Albany Capital Inc prior to 12/2007),Paul Kutey,2001,2005,Various Positions (Non-Brd),Corporate Controller (Non-Brd),Private,12,602642,441854,Various Positions,Non-Brd,,2001,2005,2001-01-01,2005-11-03,2001-01-01,2005-11-03,Quoted
NFP,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Research Foundation of State University of New York (The),Paul Kutey,2006,2007,Employee (Non-Brd),Director - SD,Charities,12,1986395,441854,Employee,Non-Brd,,2006,2007,2006-06-29,,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Greenwich Green Cooperative Inc,Mark Pappas,2010,2011,Head of Division (Non-Brd),President,Private,12,3189560,451488,Head of Division,Non-Brd,,2010,2011,2010-12-01,2013-05-01,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Descap Mortgage LLC,Mark Pappas,2010,2013,Head of Division (Non-Brd),President (Non-Brd),Private,12,3189551,451488,Head of Division,Non-Brd,,2010,2013,2010-12-01,2013-05-01,2010-12-01,2013-05-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint Capital Inc (First Albany Capital Inc prior to 12/2007),Peter McNierney,2006,2007,President/CEO (Brd) (ED),President/CEO (Brd) (ED),Private,12,602642,493920,President/CEO,Brd,ED,2006,2007,2006-06-30,2007-09-21,2006-06-01,2007-09-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint Capital Inc (First Albany Capital Inc prior to 12/2007),Peter McNierney,2007,2010,President/COO (Brd) (ED),President/COO (Brd) (ED),Private,12,602642,493920,President/COO,Brd,ED,2007,2010,2007-09-21,2010-10-27,2007-09-01,2010-10-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint Capital Inc (First Albany Capital Inc prior to 12/2007),C Coad,2006,2007,CFO (Non-Brd),VP/Division Director (Non-Brd),Private,12,602642,493939,CFO,Non-Brd,,2006,2007,2006-06-29,2008-03-31,2003-01-01,2007-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint Capital Inc (First Albany Capital Inc prior to 12/2007),Peter McNierney,2007,2007,President/CEO (Brd) (ED),President/COO (Brd) (ED),Private,12,602642,493920,President/CEO,Brd,ED,2007,2007,2006-06-30,2007-09-21,2007-09-01,2010-10-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Broadpoint Capital Inc (First Albany Capital Inc prior to 12/2007),Peter McNierney,2006,2006,Director - Banking (Non-Brd),President/CEO (Brd) (ED),Private,12,602642,493920,Director - Banking,Non-Brd,,2006,2006,2002-10-01,2006-06-29,2006-06-01,2007-09-01,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MECHANICAL TECHNOLOGY INC (De-listed 04/2009),George McNamee,1996,1998,Chairman/Co-CEO (Brd) (ED),Chairman (Brd) (SD),Quoted,12,20024,320417,Chairman/Co-CEO,Brd,ED,1996,1998,1993-01-01,2003-07-01,1996-01-01,1998-04-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),NMD Interactive Inc (StreetEasy Inc),George McNamee,2007,2009,Director - SD (Brd) (SD),Director - SD (Brd) (SD),Private,12,1635631,320417,Director - SD,Brd,SD,2007,2009,1969-01-01,1975-01-01,2006-01-01,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Autotask Corp,George McNamee,2007,2009,Director - SD (Brd) (SD),Director - SD (Brd) (SD),Private,12,863401,320417,Director - SD,Brd,SD,2007,2009,2007-09-21,2009-04-16,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),PLUG POWER INC,George McNamee,2007,2009,Director - SD (Brd) (SD),Independent Chairman (Brd) (SD),Quoted,12,24645,320417,Director - SD,Brd,SD,2007,2009,1969-01-01,1975-01-01,1997-06-01,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Chicago Board of Education,Doctor Henry Bienen,2011,2013,Independent Director (Brd) (SD),Director - SD,Private,12,576276,310234,Independent Director,Brd,SD,2011,2013,2010-05-27,2013-05-23,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MetaCarta Inc,George McNamee,2007,2009,Director - SD (Brd) (SD),Director - SD (Brd) (SD),Private,12,650101,320417,Director - SD,Brd,SD,2007,2009,2007-09-21,2009-04-16,2005-09-08,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MAPINFO CORP (De-listed 04/2007),George McNamee,1989,1993,Chairman (Brd) (ED),Independent Director (Brd) (SD),Quoted,12,19608,320417,Chairman,Brd,ED,1989,1993,1989-01-01,1993-01-01,1988-01-01,2003-11-12,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),IROBOT CORP,George McNamee,2006,2007,Chairman (Brd) (ED),Lead Independent Director (Brd) (SD),Quoted,12,464072,320417,Chairman,Brd,ED,2006,2007,2003-07-01,2007-09-21,2006-01-01,2016-03-14,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Autotask Corp,George McNamee,2007,2009,Director - SD (Brd) (SD),Director - SD (Brd) (SD),Private,12,863401,320417,Director - SD,Brd,SD,2007,2009,2007-09-21,2009-04-16,2005-01-01,2012-01-01,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Steppenwolf Theatre Co,Doctor Henry Bienen,2010,2013,Independent Director (Brd) (SD),Trustee,Private,12,39551,310234,Independent Director,Brd,SD,2010,2013,2010-05-27,2013-05-23,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),IROBOT CORP,George McNamee,2006,2007,Chairman (Brd) (ED),Lead Independent Director (Brd) (SD),Quoted,12,464072,320417,Chairman,Brd,ED,2006,2007,1989-01-01,1993-01-01,2006-01-01,2016-03-14,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MAPINFO CORP (De-listed 04/2007),George McNamee,1993,2003,Chairman/Co-CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,12,19608,320417,Chairman/Co-CEO,Brd,ED,1993,2003,1993-01-01,2003-07-01,1988-01-01,2003-11-12,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Knight Commission on Intercollegiate Athletics,Doctor Henry Bienen,2010,2013,Independent Director (Brd) (SD),Member,Private,12,945130,310234,Independent Director,Brd,SD,2010,2013,2010-05-27,2013-05-23,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Rasmussen College Inc (Deltak Edu Inc prior to 12/4/2006),Doctor Henry Bienen,2012,2013,Independent Director (Brd) (SD),Chairman,Universities,12,575752,310234,Independent Director,Brd,SD,2012,2013,2010-05-27,2013-05-23,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),META GROUP INC (De-listed 04/2005),George McNamee,2003,2004,Chairman (Brd) (ED),Director - SD (Brd) (SD),Quoted,12,20391,320417,Chairman,Brd,ED,2003,2004,2003-07-01,2007-09-21,1996-08-01,2004-04-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Home Shopping Network (HSN) Inc,George McNamee,1993,1996,Chairman/Co-CEO (Brd) (ED),Director - SD (Brd) (SD),Private,12,94252,320417,Chairman/Co-CEO,Brd,ED,1993,1996,1993-01-01,2003-07-01,1993-01-01,1996-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MetaCarta Inc,George McNamee,2005,2007,Chairman (Brd) (ED),Director - SD (Brd) (SD),Private,12,650101,320417,Chairman,Brd,ED,2005,2007,2003-07-01,2007-09-21,2005-09-08,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Yale Development Board,George McNamee,2008,2009,Director - SD (Brd) (SD),Member,Private,12,99676,320417,Director - SD,Brd,SD,2008,2009,1969-01-01,1975-01-01,,,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),First Equity Development Inc,Michael Culver,2006,2007,Vice Chairman (Brd) (ED),Co-Founder (Non-Brd),Private,26,1634289,373894,Vice Chairman,Brd,ED,2006,2007,2006-10-12,2007-05-01,1985-01-01,2009-01-01,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Albany Academies (The),George McNamee,2008,2009,Director - SD (Brd) (SD),Trustee,Universities,12,2495473,320417,Director - SD,Brd,SD,2008,2009,2007-09-21,2009-04-16,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),IROBOT CORP,George McNamee,2003,2006,Chairman (Brd) (ED),Independent Director (Brd) (SD),Quoted,12,464072,320417,Chairman,Brd,ED,2003,2006,2003-07-01,2007-09-21,1999-08-01,2006-01-01,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),American Academy of Arts and Sciences (AAAS),Doctor Henry Bienen,2010,2013,Independent Director (Brd) (SD),Member,Universities,12,36651,310234,Independent Director,Brd,SD,2010,2013,2010-05-27,2013-05-23,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Autotask Corp,George McNamee,2005,2007,Chairman (Brd) (ED),Director - SD (Brd) (SD),Private,12,863401,320417,Chairman,Brd,ED,2005,2007,1989-01-01,1993-01-01,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),IROBOT CORP,George McNamee,2003,2006,Chairman (Brd) (ED),Independent Director (Brd) (SD),Quoted,12,464072,320417,Chairman,Brd,ED,2003,2006,1989-01-01,1993-01-01,1999-08-01,2006-01-01,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),New York Conservation Education Fund,George McNamee,2007,2009,Director - SD (Brd) (SD),Director - SD,Private,12,565184,320417,Director - SD,Brd,SD,2007,2009,1969-01-01,1975-01-01,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MetaCarta Inc,George McNamee,2005,2007,Chairman (Brd) (ED),Director - SD (Brd) (SD),Private,12,650101,320417,Chairman,Brd,ED,2005,2007,1989-01-01,1993-01-01,2005-09-08,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),New York Conservation Education Fund,George McNamee,2004,2007,Chairman (Brd) (ED),Director - SD,Private,12,565184,320417,Chairman,Brd,ED,2004,2007,2003-07-01,2007-09-21,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Autotask Corp,George McNamee,2007,2009,Director - SD (Brd) (SD),Director - SD (Brd) (SD),Private,12,863401,320417,Director - SD,Brd,SD,2007,2009,1969-01-01,1975-01-01,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),New York Conservation Education Fund,George McNamee,2007,2009,Director - SD (Brd) (SD),Director - SD,Private,12,565184,320417,Director - SD,Brd,SD,2007,2009,2007-09-21,2009-04-16,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MAPINFO CORP (De-listed 04/2007),George McNamee,2003,2003,Chairman (Brd) (ED),Independent Director (Brd) (SD),Quoted,12,19608,320417,Chairman,Brd,ED,2003,2003,2003-07-01,2007-09-21,1988-01-01,2003-11-12,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Home Shopping Network (HSN) Inc,George McNamee,1993,1993,Chairman (Brd) (ED),Director - SD (Brd) (SD),Private,12,94252,320417,Chairman,Brd,ED,1993,1993,1989-01-01,1993-01-01,1993-01-01,1996-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Amici LLC,George McNamee,2008,2009,Director - SD (Brd) (SD),Director - SD (Brd) (SD),Private,12,863400,320417,Director - SD,Brd,SD,2008,2009,2007-09-21,2009-04-16,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),American Political Science Association,Doctor Henry Bienen,2010,2013,Independent Director (Brd) (SD),Member,Clubs,12,54097,310234,Independent Director,Brd,SD,2010,2013,2010-05-27,2013-05-23,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Shedd Aquarium (Formerly known as John G Shedd Aquarium),Doctor Henry Bienen,2010,2013,Independent Director (Brd) (SD),Honorary Trustee,Private,12,78968,310234,Independent Director,Brd,SD,2010,2013,2010-05-27,2013-05-23,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),PLUG POWER INC,George McNamee,2003,2007,Chairman (Brd) (ED),Independent Chairman (Brd) (SD),Quoted,12,24645,320417,Chairman,Brd,ED,2003,2007,1989-01-01,1993-01-01,1997-06-01,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),PLUG POWER INC,George McNamee,2007,2009,Director - SD (Brd) (SD),Independent Chairman (Brd) (SD),Quoted,12,24645,320417,Director - SD,Brd,SD,2007,2009,2007-09-21,2009-04-16,1997-06-01,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),IROBOT CORP,George McNamee,2007,2009,Director - SD (Brd) (SD),Lead Independent Director (Brd) (SD),Quoted,12,464072,320417,Director - SD,Brd,SD,2007,2009,1969-01-01,1975-01-01,2006-01-01,2016-03-14,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Albany Academies (The),George McNamee,2008,2009,Director - SD (Brd) (SD),Trustee,Universities,12,2495473,320417,Director - SD,Brd,SD,2008,2009,1969-01-01,1975-01-01,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),META GROUP INC (De-listed 04/2005),George McNamee,1996,2003,Chairman/Co-CEO (Brd) (ED),Director - SD (Brd) (SD),Quoted,12,20391,320417,Chairman/Co-CEO,Brd,ED,1996,2003,1993-01-01,2003-07-01,1996-08-01,2004-04-01,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),IROBOT CORP,George McNamee,2003,2006,Chairman (Brd) (ED),Independent Director (Brd) (SD),Quoted,12,464072,320417,Chairman,Brd,ED,2003,2006,2003-07-01,2007-09-21,2016-03-14,2016-05-25,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),IROBOT CORP,George McNamee,1999,2003,Chairman/Co-CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,12,464072,320417,Chairman/Co-CEO,Brd,ED,1999,2003,1993-01-01,2003-07-01,2016-03-14,2016-05-25,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Autotask Corp,George McNamee,2005,2007,Chairman (Brd) (ED),Director - SD (Brd) (SD),Private,12,863401,320417,Chairman,Brd,ED,2005,2007,1989-01-01,1993-01-01,2005-01-01,2012-01-01,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Chicago Public Schools (CPS),Doctor Henry Bienen,2011,2012,Independent Director (Brd) (SD),Director - SD,Universities,12,255527,310234,Independent Director,Brd,SD,2011,2012,2010-05-27,2013-05-23,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),IROBOT CORP,George McNamee,2003,2006,Chairman (Brd) (ED),Independent Director (Brd) (SD),Quoted,12,464072,320417,Chairman,Brd,ED,2003,2006,1989-01-01,1993-01-01,2016-03-14,2016-05-25,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Amici LLC,George McNamee,2008,2009,Director - SD (Brd) (SD),Director - SD (Brd) (SD),Private,12,863400,320417,Director - SD,Brd,SD,2008,2009,1969-01-01,1975-01-01,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MAPINFO CORP (De-listed 04/2007),George McNamee,2003,2003,Chairman (Brd) (ED),Independent Director (Brd) (SD),Quoted,12,19608,320417,Chairman,Brd,ED,2003,2003,1989-01-01,1993-01-01,1988-01-01,2003-11-12,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),IROBOT CORP,George McNamee,2007,2009,Director - SD (Brd) (SD),Lead Independent Director (Brd) (SD),Quoted,12,464072,320417,Director - SD,Brd,SD,2007,2009,2007-09-21,2009-04-16,2006-01-01,2016-03-14,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Chicago Council on Global Affairs (Formerly known as Chicago Council on Foreign Relations (CCFR)),Doctor Henry Bienen,2010,2013,Independent Director (Brd) (SD),Honorary Director,Private,12,42093,310234,Independent Director,Brd,SD,2010,2013,2010-05-27,2013-05-23,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Ithaka Harbors Inc,Doctor Henry Bienen,2010,2013,Independent Director (Brd) (SD),Chairman,Private,12,1230313,310234,Independent Director,Brd,SD,2010,2013,2010-05-27,2013-05-23,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),PLUG POWER INC,George McNamee,1997,2003,Chairman/Co-CEO (Brd) (ED),Independent Chairman (Brd) (SD),Quoted,12,24645,320417,Chairman/Co-CEO,Brd,ED,1997,2003,1993-01-01,2003-07-01,1997-06-01,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),MAPINFO CORP (De-listed 04/2007),George McNamee,1988,1989,Chairman/President (Brd) (ED),Independent Director (Brd) (SD),Quoted,12,19608,320417,Chairman/President,Brd,ED,1988,1989,1985-11-01,1989-01-01,1988-01-01,2003-11-12,Quoted
